title,neighborhood,time_duration,bedrooms,bathrooms,size,price
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 11:00:00,5.0,5.0,375.0,2050000.0
فيلا للبيع في شارع الامير محمد بن فيصل بن تركي ، حي القدس ، الرياض,القدس,0 days 08:00:00,5.0,5.0,375.0,1800000.0
فيلا للبيع في الرياض,طويق,0 days 19:00:00,3.0,5.0,450.0,1450000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 05:00:00,5.0,5.0,360.0,2200000.0
فيلا للبيع في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي المونسية ، الرياض,المونسية,21 days 00:00:00,4.0,3.0,300.0,1300000.0
فيلا للبيع في الرياض,طويق,0 days 07:00:00,5.0,5.0,200.0,820000.0
فيلا للبيع في طريق علي البجادي ، حي الرمال ، الرياض,الرمال,2 days 00:00:00,3.0,3.0,246.0,1000000.0
فيلا للبيع في طريق الإمام عبدالله بن سعود بن عبدالعزيز الفرعي ، حي القادسية ، الرياض,القادسية,30 days 10:00:00,4.70312813314618,5.0,512.0,1900000.0
فيلا للبيع في المملكة العربية السعودية,المونسية,21 days 00:00:00,5.0,4.0,204.0,1100000.0
فيلا للبيع في شارع ابي معاذ الانصاري ، حي الربيع ، الرياض,الربيع,30 days 10:00:00,5.0,5.0,360.0,2400000.0
فيلا للبيع في الرياض,طويق,1 days 00:00:00,5.0,5.0,435.0,1430000.0
فيلا للبيع في شارع نجم الدين الأيوبي ، الرياض,طويق,3 days 00:00:00,4.0,5.0,300.0,900000.0
فيلا للبيع في طريق السيل الكبير ، الرياض,المهدية,4 days 00:00:00,3.0,3.0,375.0,870000.0
فيلا للبيع في شارع المسيل ، حي الحزم ، الرياض,الحزم,6 days 00:00:00,4.70312813314618,5.0,475.6799679165831,1895102.561459796
فيلا للبيع في شارع ابي الشكر بن عبدالله ، حي الزهرة ، الرياض,الزهرة,7 days 00:00:00,4.70312813314618,5.0,500.0,500000.0
فيلا للبيع في حي الملك عبدالله ، الرياض,عبدالله,0 days 05:00:00,6.0,5.0,505.0,3000000.0
فيلا للبيع في الرياض,المهدية,3 days 00:00:00,3.0,4.0,400.0,1300000.0
فيلا للبيع في الرياض,الرمال,1 days 00:00:00,4.0,5.0,240.0,1000000.0
فيلا للبيع في طريق عثمان بن عفان ، الرياض,النرجس,7 days 00:00:00,4.0,5.0,350.0,2000000.0
فيلا للبيع في الرياض,طويق,7 days 00:00:00,5.0,5.0,385.0,1160000.0
فيلا للبيع في الرياض,النرجس,60 days 20:00:00,5.0,5.0,250.0,1380000.0
فيلا للبيع في شارع ابي الشجاع اللوزي ، حي السويدي الغربي ، الرياض,الغربي,5 days 00:00:00,4.70312813314618,5.0,500.0,850000.0
فيلا للبيع في طريق الملك عبدالعزيز ، الرياض,العارض,0 days 07:00:00,4.0,4.0,350.0,1530000.0
فيلا للبيع في شارع علي بن النقيب ، حي الحزم ، الرياض,الحزم,30 days 10:00:00,5.0,5.0,300.0,1050000.0
فيلا للبيع في شارع أبو سعيد النقاش ، حي العوالي ، الرياض,نمار,0 days 03:00:00,4.70312813314618,5.0,475.6799679165831,1700000.0
فيلا للبيع في حي ديراب ، الرياض,ديراب,0 days 22:00:00,5.0,5.0,312.0,950000.0
فيلا للبيع في الرياض,طويق,60 days 20:00:00,5.0,5.0,375.0,1200000.0
فيلا للبيع في شارع الإمام الشافعي ، حي الفيحاء ، الرياض,الفيحاء,3 days 00:00:00,4.70312813314618,5.0,475.6799679165831,2000000.0
فيلا للبيع في الرياض,الجنادرية,60 days 20:00:00,4.0,4.0,326.0,800000.0
فيلا للبيع في حي الملك عبدالله ، الرياض,عبدالله,2 days 00:00:00,4.0,4.449167836374574,400.0,1800000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 12:00:00,5.0,5.0,360.0,2100000.0
فيلا للبيع في حي القادسية ، الرياض,القادسية,30 days 10:00:00,5.0,5.0,384.0,1400000.0
فيلا للبيع في الرياض,الملقا,0 days 06:00:00,5.0,5.0,520.0,1895102.561459796
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,1 days 00:00:00,5.0,5.0,360.0,1900000.0
فيلا للبيع في المملكة العربية السعودية,طويق,0 days 10:00:00,5.0,5.0,250.0,870000.0
فيلا للبيع في حي عكاظ ، الرياض,عكاظ,7 days 00:00:00,4.70312813314618,5.0,390.0,1150000.0
فيلا للبيع في الرياض,طويق,21 days 00:00:00,5.0,5.0,210.0,820000.0
فيلا للبيع في المملكة العربية السعودية,المهدية,0 days 07:00:00,5.0,5.0,375.0,1400000.0
فيلا للبيع في شارع الكداوي ، حي الحزم ، الرياض,الحزم,3 days 00:00:00,4.70312813314618,5.0,312.0,1100000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 04:00:00,5.0,5.0,350.0,2000000.0
فيلا للبيع في المملكة العربية السعودية,العارض,21 days 00:00:00,4.0,4.0,432.0,1600000.0
فيلا للبيع في الرياض,طويق,0 days 12:00:00,5.0,5.0,245.0,850000.0
فيلا للبيع في الرياض,العارض,0 days 07:00:00,3.0,5.0,270.0,1300000.0
فيلا للبيع في حي القادسية ، الرياض,القادسية,0 days 09:00:00,4.70312813314618,4.0,437.0,1400000.0
فيلا للبيع في الرياض,العارض,30 days 10:00:00,5.0,5.0,322.0,1400000.0
فيلا للبيع في شارع عبدالله الفرضي ، حي الربيع ، الرياض,الربيع,0 days 06:00:00,5.0,5.0,438.0,2700000.0
فيلا للبيع في الرياض,طويق,14 days 00:00:00,3.0,4.0,375.0,1150000.0
فيلا للبيع في طريق أنس ابن مالك ، الرياض,الملقا,30 days 10:00:00,5.0,5.0,554.0,1895102.561459796
فيلا للبيع في الرياض,العارض,21 days 00:00:00,5.0,5.0,325.0,1400000.0
فيلا للبيع في المملكة العربية السعودية,المهدية,4 days 00:00:00,6.0,5.0,250.0,870000.0
فيلا للبيع في حي الملقا ، الرياض,الملقا,0 days 07:00:00,5.0,4.0,500.0,1895102.561459796
فيلا للبيع في حي الرمال ، الرياض,الرمال,4 days 00:00:00,4.0,5.0,348.0,1450000.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,طويق,0 days 10:00:00,5.0,5.0,267.0,910000.0
فيلا للبيع في الرياض,طويق,91 days 06:00:00,5.0,5.0,385.0,950000.0
فيلا للبيع في شارع ابراهيم البرهان ، حي الجنادرية ، الرياض,الجنادرية,91 days 06:00:00,4.0,4.0,300.0,1050000.0
فيلا للبيع في شارع النزلة ، حي الصحافة ، الرياض,الصحافة,0 days 11:00:00,5.0,4.0,350.0,1750000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 06:00:00,4.0,4.0,360.0,1900000.0
فيلا للبيع في الرياض,طويق,30 days 10:00:00,5.0,4.0,360.0,850000.0
فيلا للبيع في شارع نجم الدين الايوبي ، الرياض,طويق,0 days 19:00:00,3.0,5.0,300.0,1070000.0
فيلا للبيع في شارع سلطان بن نمر ، حي الرمال ، الرياض,الرمال,30 days 10:00:00,5.0,5.0,354.0,1150000.0
فيلا للبيع في الرياض,طويق,0 days 08:00:00,5.0,5.0,360.0,1180000.0
فيلا للبيع في الرياض,طويق,1 days 00:00:00,5.0,5.0,625.0,1750000.0
فيلا للبيع في المملكة العربية السعودية,العارض,7 days 00:00:00,3.0,5.0,405.0,1750000.0
فيلا للبيع في حي طويق ، الرياض,طويق,1 days 00:00:00,5.0,5.0,300.0,920000.0
فيلا للبيع في حي حطين ، الرياض,حطين,2 days 00:00:00,5.0,5.0,595.0,1895102.561459796
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,طويق,2 days 00:00:00,5.0,5.0,330.0,1150000.0
فيلا للبيع في حي القيروان ، الرياض,القيروان,1 days 00:00:00,6.0,3.0,375.0,2100000.0
فيلا للبيع في شارع الكندي ، حي الملك فيصل ، الرياض,فيصل,2 days 00:00:00,5.0,5.0,475.6799679165831,2500000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 04:00:00,4.0,4.0,312.0,1700000.0
فيلا للبيع في الرياض,العارض,14 days 00:00:00,4.0,5.0,250.0,1250000.0
فيلا للبيع في شارع الوراد ، حي الحزم ، الرياض,الحزم,0 days 19:00:00,4.0,5.0,250.0,880000.0
فيلا للبيع في حي الحزم ، الرياض,الحزم,5 days 00:00:00,6.0,5.0,290.0,1080000.0
فيلا للبيع في الرياض,الملقا,14 days 00:00:00,3.0,5.0,337.0,1600000.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,طويق,0 days 05:00:00,3.0,4.0,435.0,970000.0
فيلا للبيع في شارع نجم الدين الأيوبي الفرعي ، الرياض,طويق,0 days 10:00:00,5.0,5.0,450.0,1000000.0
فيلا للبيع في حي حطين ، الرياض,حطين,0 days 06:00:00,5.0,5.0,525.0,1895102.561459796
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,طويق,3 days 00:00:00,5.0,5.0,300.0,930000.0
فيلا للبيع في الرياض,الشرق,0 days 09:00:00,4.0,5.0,643.0,1650000.0
فيلا للبيع في شارع الدهناء ، الرياض,الملقا,0 days 11:00:00,5.0,5.0,475.6799679165831,1895102.561459796
فيلا للبيع في حي الندى ، الرياض,الندى,0 days 23:00:00,4.70312813314618,5.0,510.0,1895102.561459796
فيلا للبيع في الرياض,العارض,7 days 00:00:00,5.0,5.0,210.0,1100000.0
فيلا للبيع في الرياض,النرجس,5 days 00:00:00,4.0,5.0,400.0,1900000.0
فيلا للبيع في الرياض,العارض,0 days 04:00:00,4.0,4.0,319.0,1450000.0
فيلا للبيع في حي النرجس ، الرياض,النرجس,0 days 10:00:00,4.0,4.449167836374574,222.0,1400000.0
